"location","hits","keyword","geo","gprop","date"
"Montana",100,"abortion","US","web","2024-10-23 2024-10-24"
"Missouri",96,"abortion","US","web","2024-10-23 2024-10-24"
"District of Columbia",85,"abortion","US","web","2024-10-23 2024-10-24"
"Nebraska",83,"abortion","US","web","2024-10-23 2024-10-24"
"Arizona",82,"abortion","US","web","2024-10-23 2024-10-24"
"Florida",80,"abortion","US","web","2024-10-23 2024-10-24"
"Wyoming",71,"abortion","US","web","2024-10-23 2024-10-24"
"Kansas",65,"abortion","US","web","2024-10-23 2024-10-24"
"West Virginia",65,"abortion","US","web","2024-10-23 2024-10-24"
"Wisconsin",61,"abortion","US","web","2024-10-23 2024-10-24"
"Michigan",60,"abortion","US","web","2024-10-23 2024-10-24"
"Maryland",59,"abortion","US","web","2024-10-23 2024-10-24"
"Iowa",58,"abortion","US","web","2024-10-23 2024-10-24"
"Ohio",58,"abortion","US","web","2024-10-23 2024-10-24"
"Nevada",57,"abortion","US","web","2024-10-23 2024-10-24"
"Delaware",57,"abortion","US","web","2024-10-23 2024-10-24"
"Maine",56,"abortion","US","web","2024-10-23 2024-10-24"
"North Carolina",53,"abortion","US","web","2024-10-23 2024-10-24"
"Arkansas",52,"abortion","US","web","2024-10-23 2024-10-24"
"Georgia",51,"abortion","US","web","2024-10-23 2024-10-24"
"Pennsylvania",51,"abortion","US","web","2024-10-23 2024-10-24"
"Alabama",49,"abortion","US","web","2024-10-23 2024-10-24"
"Indiana",49,"abortion","US","web","2024-10-23 2024-10-24"
"South Carolina",49,"abortion","US","web","2024-10-23 2024-10-24"
"Mississippi",48,"abortion","US","web","2024-10-23 2024-10-24"
"New Hampshire",46,"abortion","US","web","2024-10-23 2024-10-24"
"South Dakota",45,"abortion","US","web","2024-10-23 2024-10-24"
"Idaho",44,"abortion","US","web","2024-10-23 2024-10-24"
"Kentucky",44,"abortion","US","web","2024-10-23 2024-10-24"
"Virginia",44,"abortion","US","web","2024-10-23 2024-10-24"
"Colorado",44,"abortion","US","web","2024-10-23 2024-10-24"
"Utah",43,"abortion","US","web","2024-10-23 2024-10-24"
"New Mexico",43,"abortion","US","web","2024-10-23 2024-10-24"
"Minnesota",42,"abortion","US","web","2024-10-23 2024-10-24"
"Oregon",42,"abortion","US","web","2024-10-23 2024-10-24"
"Tennessee",41,"abortion","US","web","2024-10-23 2024-10-24"
"New York",41,"abortion","US","web","2024-10-23 2024-10-24"
"Illinois",40,"abortion","US","web","2024-10-23 2024-10-24"
"Texas",40,"abortion","US","web","2024-10-23 2024-10-24"
"New Jersey",39,"abortion","US","web","2024-10-23 2024-10-24"
"Washington",38,"abortion","US","web","2024-10-23 2024-10-24"
"Massachusetts",35,"abortion","US","web","2024-10-23 2024-10-24"
"Connecticut",35,"abortion","US","web","2024-10-23 2024-10-24"
"Hawaii",34,"abortion","US","web","2024-10-23 2024-10-24"
"California",33,"abortion","US","web","2024-10-23 2024-10-24"
"Louisiana",32,"abortion","US","web","2024-10-23 2024-10-24"
"Rhode Island",31,"abortion","US","web","2024-10-23 2024-10-24"
"Oklahoma",31,"abortion","US","web","2024-10-23 2024-10-24"
"Vermont",NA,"abortion","US","web","2024-10-23 2024-10-24"
"North Dakota",NA,"abortion","US","web","2024-10-23 2024-10-24"
"Alaska",NA,"abortion","US","web","2024-10-23 2024-10-24"
"Alaska",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Alabama",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Arkansas",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Arizona",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"California",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Colorado",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Connecticut",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"District of Columbia",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Delaware",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Florida",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Georgia",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Hawaii",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Iowa",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Idaho",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Illinois",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Indiana",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Kansas",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Kentucky",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Louisiana",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Massachusetts",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Maryland",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Maine",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Michigan",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Minnesota",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Missouri",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Mississippi",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Montana",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"North Carolina",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"North Dakota",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Nebraska",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"New Hampshire",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"New Jersey",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"New Mexico",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Nevada",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"New York",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Ohio",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Oklahoma",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Oregon",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Pennsylvania",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Rhode Island",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"South Carolina",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"South Dakota",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Tennessee",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Texas",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Utah",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Virginia",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Vermont",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Washington",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Wisconsin",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"West Virginia",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Wyoming",NA,"bisalp","US","web","2024-10-23 2024-10-24"
"Louisiana",100,"plan B","US","web","2024-10-23 2024-10-24"
"South Carolina",88,"plan B","US","web","2024-10-23 2024-10-24"
"Oklahoma",87,"plan B","US","web","2024-10-23 2024-10-24"
"Maryland",87,"plan B","US","web","2024-10-23 2024-10-24"
"Mississippi",86,"plan B","US","web","2024-10-23 2024-10-24"
"Florida",86,"plan B","US","web","2024-10-23 2024-10-24"
"Texas",85,"plan B","US","web","2024-10-23 2024-10-24"
"Georgia",85,"plan B","US","web","2024-10-23 2024-10-24"
"Nebraska",84,"plan B","US","web","2024-10-23 2024-10-24"
"Iowa",80,"plan B","US","web","2024-10-23 2024-10-24"
"Illinois",77,"plan B","US","web","2024-10-23 2024-10-24"
"Michigan",74,"plan B","US","web","2024-10-23 2024-10-24"
"Colorado",74,"plan B","US","web","2024-10-23 2024-10-24"
"California",72,"plan B","US","web","2024-10-23 2024-10-24"
"Nevada",71,"plan B","US","web","2024-10-23 2024-10-24"
"Arizona",71,"plan B","US","web","2024-10-23 2024-10-24"
"Alabama",70,"plan B","US","web","2024-10-23 2024-10-24"
"Arkansas",70,"plan B","US","web","2024-10-23 2024-10-24"
"Missouri",67,"plan B","US","web","2024-10-23 2024-10-24"
"North Carolina",66,"plan B","US","web","2024-10-23 2024-10-24"
"Wisconsin",63,"plan B","US","web","2024-10-23 2024-10-24"
"Connecticut",62,"plan B","US","web","2024-10-23 2024-10-24"
"Tennessee",61,"plan B","US","web","2024-10-23 2024-10-24"
"Kansas",60,"plan B","US","web","2024-10-23 2024-10-24"
"Utah",60,"plan B","US","web","2024-10-23 2024-10-24"
"Washington",57,"plan B","US","web","2024-10-23 2024-10-24"
"Indiana",53,"plan B","US","web","2024-10-23 2024-10-24"
"Oregon",53,"plan B","US","web","2024-10-23 2024-10-24"
"Pennsylvania",50,"plan B","US","web","2024-10-23 2024-10-24"
"Virginia",48,"plan B","US","web","2024-10-23 2024-10-24"
"Minnesota",46,"plan B","US","web","2024-10-23 2024-10-24"
"Ohio",46,"plan B","US","web","2024-10-23 2024-10-24"
"New Jersey",46,"plan B","US","web","2024-10-23 2024-10-24"
"New York",45,"plan B","US","web","2024-10-23 2024-10-24"
"Massachusetts",41,"plan B","US","web","2024-10-23 2024-10-24"
"Alaska",NA,"plan B","US","web","2024-10-23 2024-10-24"
"New Mexico",NA,"plan B","US","web","2024-10-23 2024-10-24"
"New Hampshire",NA,"plan B","US","web","2024-10-23 2024-10-24"
"North Dakota",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Rhode Island",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Montana",NA,"plan B","US","web","2024-10-23 2024-10-24"
"South Dakota",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Maine",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Kentucky",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Idaho",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Hawaii",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Vermont",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Delaware",NA,"plan B","US","web","2024-10-23 2024-10-24"
"District of Columbia",NA,"plan B","US","web","2024-10-23 2024-10-24"
"West Virginia",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Wyoming",NA,"plan B","US","web","2024-10-23 2024-10-24"
"Montana",100,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Tennessee",13,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Maryland",12,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Georgia",7,"abortion clinic","US","web","2024-10-23 2024-10-24"
